No.	Word	Type	Pronounce	Meaning	status	Examples
1	a	det, pron		nhỏ, một ít
2	abandon	v	ə'bændən	bỏ, từ bỏ
3	abandoned	adj	ə'bændənd	bị bỏ rơi, bị ruồng  bỏ
4	ability	n	ə'biliti	khả năng, năng lực
5	able	adj	eibl	có năng lực, có tài
6	about	adv, prep	ə'baut	khoảng, về
7	above	prep, adv	ə'bʌv	ở trên, lên trên
8	abroad	adv	ə'brɔ:d	ở, ra nước ngoài, ngoài trời
9	absence	n	æbsəns	sự vắng mặt
10	absent	adj	æbsənt	vắng mặt, nghỉ
11	absolute	adj	æbsəlu:t	tuyệt đối, hoàn toàn
12	absolutely	adv	æbsəlu:tli	tuyệt đối, hoàn toàn
13	absorb	v	əb'sɔ:b	thu hút, hấp thu, lôi cuốn
14	abuse	n, v	ə'bju:s	lộng hành, lạm dụng
15	academic	adj	,ækə'demik	thuộc  học viện, ĐH, viện hàn lâm
16	accent	n	æksənt	trọng âm, dấu trọng âm
17	accept	v	ək'sept	chấp nhận,  chấp thuận
18	acceptable	adj	ək'septəbl	có thể chấp nhận,  chấp thuận
19	access	n	ækses	lối, cửa, đường vào
20	accident	n	æksidənt	tai nạn, rủi ro. by accident: tình  cờ
21	accidental	adj	,æksi'dentl	tình  cờ, bất ngờ
22	accidentally	adv	,æksi'dentəli	tình  cờ, ngẫu nhiên
23	accommodation	n	ə,kɔmə'deiʃn	sự thích  nghi, sự điều tiết, sự làm cho phù hợp
24	accompany	v	ə'kʌmpəni	đi theo, đi cùng, kèm theo.
25	according to	prep	ə'kɔ:diɳ	theo, y theo
26	account	n, v	ə'kaunt	tài khoản, kế toán; tính  toán, tính đến
27	accurate	adj	ækjurit	đúng đắn, chính  xác, xác đáng
28	accurately	adv	ækjuritli	đúng đắn, chính  xác
29	accuse	v	ə'kju:z	tố cáo, buộc tội, kết tội
30	achieve	v	ə'tʃi:v	đạt được, dành được
31	achievement	n	ə'tʃi:vmənt	thành  tích, thành  tựu
32	acid	n	æsid	axit
33	acknowledge	v	ək'nɔlidʤ	công nhận,  thừa nhận
34	acquire	v	ə'kwaiə	dành được, đạt được, kiếm được
35	across	adv, prep	ə'krɔs	qua, ngang qua
36	act	n, v	ækt	hành động, hành vi, cử chỉ, đối xử
37	action	n	ækʃn	hành động, hành vi, tác động. Take action: hành động
38	active	adj	æktiv	tích cực hoạt động, nhanh nhẹn
39	actively	adv	æktivli	tích cực hoạt động; nhanh nhẹn, linh lợi; có hiệu lực
40	activity	n	æk'tiviti	sự tích cực, sự hoạt động, sự nhanh  nhẹn, sự linh lợi
41	actor	n	æktə	diễn viên nam
42	actress	n	æktris	diễn viên nữ
43	actual	adj	æktjuəl	thực tế, có thật
44	actually	adv	æktjuəli	hiện nay, hiện tại
45	adapt	v	ə'dæpt	tra, lắp vào
46	add	v	æd	cộng, thêm vào
47	addition	n	ə'diʃn	tính  cộng, phép cộng
48	additional	adj	ə'diʃənl	thêm vào, tăng thêm
49	address	n, v	ə'dres	địa chỉ, đề địa chỉ
50	adequate	adj	ædikwit	đầy, đầy đủ
51	adequately	adv	ædikwitli	tương xứng, thỏa đáng
52	adjust	v	ə'dʤʌst	sửa lại cho đúng, điều chỉnh
53	admiration	n	,ædmə'reiʃn	sự khâm phục, thán phục
54	admire	v	əd'maiə	khâm phục, thán phục
55	admit	v	əd'mit	nhận vào, cho vào, kết hợp
56	adopt	v	ə'dɔpt	nhận làm con nuôi, bố mẹ nuôi
57	adult	n, adj	ædʌlt	người lớn, người trưởng thành; trưởng thành
58	advance	n, v	əd'vɑ:ns	sự tiến bộ, tiến lên; đưa lên, đề xuat
59	advanced	adj	əd'vɑ:nst	tiên tiến, tiến bộ, cap cao. in advance trước, sớm
60	advantage	n	əb'vɑ:ntidʤ	sự thuận  lợi, lợi ích, lợi thế. take advantage of lợi dụng
61	adventure	n	əd'ventʃə	sự phiêu lưu, mạo hiểm
62	advertise	v	ædvətaiz	báo cho biết, báo cho biết trước
63	advertisement	n	əd'və:tismənt	quảng cáo
64	advertising	n		sự quảng cáo, nghề quảng cáo
65	advice	n	əd'vais	lời khuyên,  lời chỉ bảo
66	advise	v	əd'vaiz	khuyên,  khuyên  bảo, răn bảo
67	affair	n	ə'feə	việc
68	affect	v	ə'fekt	làm ảnh hưởng, tác động đến
69	affection	n	ə'fekʃn	tình  cảm, sự yêu mến
70	afford	v	ə'fɔ:d	có thể, có đủ khả năng, điều kiện (làm gì)
71	afraid	adj	ə'freid	sợ, sợ hãi, hoảng sợ
72	after	prep, conj, adv	ɑ:ftə	sau, đằng sau, sau khi
73	afternoon	n	ɑ:ftə'nu:n	buổi chiều
74	afterwards	adv	ɑ:ftəwəd	sau này, về sau, rồi thì,  sau đây
75	again	adv	ə'gen	lại, nữa, lần nữa
76	against	prep	ə'geinst	chống lại, phản đối
77	age	n	eidʤ	tuổi
78	aged	adj	eidʤid	già đi
79	agency	n	eidʤənsi	tác dụng, lực; môi giới, trung  gian
80	agent	n	eidʤənt	đại lý, tác nhân
81	aggressive	adj	ə'gresiv	xâm lược, hung  hăng (US: xông xáo)
82	ago	adv	ə'gou	trước đây
83	agree	v	ə'gri:	đồng ý, tán thành
84	agreement	n	ə'gri:mənt	sự đồng ý, tán thành;  hiệp định, hợp đồng
85	ahead	adv	ə'hed	trước, về phía  trước
86	aid	n, v	eid	sự giúp đỡ; thêm vào, phụ vào
87	aim	n, v	eim	sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào
88	air	n	eə	không khí, bầu không  khí, không gian
89	aircraft	n	eəkrɑ:ft	máy bay, khí cầu
90	airport	n		sân bay, phi trường
91	alarm	n, v	ə'lɑ:m	báo động, báo nguy
92	alarmed	adj	ə'lɑ:m	báo động
93	alarming	adj	ə'lɑ:miɳ	làm lo sợ, làm hốt hoảng, làm sợ hãi
94	alcohol	n	ælkəhɔl	rượu cồn
95	alcoholic	adj, n	,ælkə'hɔlik	rượu; người nghiện rượu
96	alive	adj	ə'laiv	sống, vẫn còn sống, còn tồn tại
97	all	pron, adv	ɔ:l	tất cả
98	all right	adj, adv, exclamation	ɔ:l'rait	tốt, ổn, khỏe mạnh; được
99	allied	adj	ə'laid	liên minh, đồng minh, thông gia
100	allow	v	ə'lau	cho phép, để cho
101	ally	n, v	æli	nước đồng minh, liên minh; liên kết, kết thông  gia
102	almost	adv	ɔ:lmoust	hầu như, gần như
103	alone	adj, adv	ə'loun	cô đơn, một mình
104	along	prep, adv	ə'lɔɳ	dọc theo, theo; theo chiều dài, suốt theo
105	alongside	prep, adv	ə'lɔɳ'said	sát cạnh, kế bên, dọc theo
106	aloud	adv	ə'laud	lớn tiếng, to tiếng
107	alphabet	n	ælfəbit	bảng chữ cái, bước đầu, điều cơ bản
108	alphabetical	adj	,æflə'betikl	thuộc  bảng chứ cái
109	alphabetically	adv	,ælfə'betikəli	theo thứ tự abc
110	already	adv	ɔ:l'redi	đã, rồi, đã… rồi
111	also	adv	ɔ:lsou	cũng, cũng vậy, cũng thế
112	alter	v	ɔ:ltə	thay đổi, biến đổi, sửa đổi
113	alternative	n, adj	ɔ:l'tə:nətiv	sự lựa chọn; lựa chọn
114	alternatively	adv		như một sự lựa chọn
115	although	conj	ɔ:l'ðou	mặc dù, dẫu cho
116	altogether	adv	,ɔ:ltə'geðə	hoàn toàn, hầu như; nói chung
117	always	adv	ɔ:lwəz	luôn luôn
118	amaze	v	ə'meiz	làm ngạc nhiên, làm sửng sốt
119	amazed	adj	ə'meiz	kinh ngạc, sửng sốt
120	amazing	adj	ə'meiziɳ	kinh ngạc, sửng sốt
121	ambition	n	æm'biʃn	hoài bão, khát vọng
122	ambulance	n	æmbjuləns	xe cứu thương, xe cấp cứu
123	among, amongst	prep	ə'mʌɳ	giữa, ở giữa
124	amount	n, v	ə'maunt	số lượng, số nhiều; lên tới (money)
125	amuse	v	ə'mju:z	làm cho vui, thích,  làm buồn cười
126	amused	adj	ə'mju:zd	vui thích
127	amusing	adj	ə'mju:ziɳ	vui thích
128	analyse, analyze	v	ænəlaiz	phân tích
129	analysis	n	ə'næləsis	sự phân tích
130	ancient	adj	einʃənt	xưa, cổ
131	and	conj	ænd, ənd, ən	và
132	anger	n	æɳgə	sự tức giận, sự giận dữ
133	angle	n	æɳgl	góc
134	angrily	adv	æɳgrili	tức giận, giận dữ
135	angry	adj	æɳgri	giận, tức giận
136	animal	n	æniməl	động vật, thú vật
137	ankle	n	æɳkl	mắt cá chân
138	anniversary	n	,æni'və:səri	ngày, lễ kỉ niệm
139	announce	v	ə'nauns	báo, thông báo
140	annoy	v	ə'nɔi	chọc tức, làm bực mình;  làm phiền, quẫy nhiễu
141	annoyed	adj	ə'nɔid	bị khó chịu, bực mình,  bị quấy rầy
142	annoying	adj	ə'nɔiiɳ	chọc tức, làm bực mình;  làm phiền, quấy nhiễu
143	annual	adj	ænjuəl	hàng năm, từng năm
144	annually	adv	ænjuəli	hàng năm, từng năm
145	another	det, pron	ə'nʌðə	khác
146	answer	n, v	ɑ:nsə	sự trả lời; trả lời
147	anti	prefix		chống lại
148	anticipate	v	æn'tisipeit	thấy trước, chặn trước, lường trước
149	anxiety	n	æɳ'zaiəti	mối lo âu, sự lo lắng
150	anxious	adj	æɳkʃəs	lo âu, lo lắng, băn khoăn
151	anxiously	adv	æɳkʃəsli	lo âu, lo lắng, băn khoăn
152	any	detpron, adv		một người, vật nào đó; bất cứ; một chút nào, tí nào
153	anyone (anybod)	pron	eniwʌn	người nào, bất cứ ai
154	anything	pron	eniθiɳ	việc gì, vật gì; bất cứ việc gì, vật gì
155	anyway	adv	eniwei	thế nào cũng được, dù sấo chăng nữa
156	anywhere	adv	eniweə	bất cứ chỗ nào, bất cứ nơi đâu
157	apart	adv	ə'pɑ:t	về một bên, qua một bên
158	apart from	prep	ə'pɑ:t	ngoài… ra
159	apart from, aside from	prep		ngoài ra
160	apartment	n	ə'pɑ:tmənt	căn phòng, căn buồng
161	apologize	v	ə'pɔlədʤaiz	xin lỗi, tạ lỗi
162	apparent	adj	ə'pærənt	rõ ràng, rành mạch; bề ngoài, có vẻ
163	apparently	adv		nhìn  bên ngoài, hình  như
164	appeal	n, v	ə'pi:l	sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
165	appear	v	ə'piə	xuất hiện, hiện ra, trình  diện
166	appearance	n	ə'piərəns	sự xuất hiện, sự trình  diện
167	apple	n	æpl	quả táo
168	application	n	,æpli'keiʃn	sự gắn vào, vật gắn vào; sự chuyên  cần, chuyên  tâm
169	apply	v	ə'plai	gắn vào, ghép vào, áp dụng vào
170	appoint	v	ə'pɔint	bổ nhiệm, chỉ định, chọn
171	appointment	n	ə'pɔintmənt	sự bổ nhiệm, người được bổ nhiệm
172	appreciate	v	ə'pri:ʃieit	thấy rõ; nhận thức
173	approach	v, n	ə'proutʃ	đến gần, lại gần; sự đến gần, sự lại gần
174	appropriate (to, for)	adj	ə'proupriit	thích  hợp, thích  đáng
175	approval	n	ə'pru:vəl	sự tán thành,  đồng ý, sự chấp thuận
176	approve	of, v	ə'pru:v	tán thành,  đồng ý, chấp thuận
177	approving	adj	ə'pru:viɳ	tán thành,  đồng ý, chấp thuận
178	approximate	adj, to	ə'prɔksimit	giống với, giống hệt với
179	approximately	adv	ə'prɔksimitli	khoảng chừng, độ chừng
180	April (abbr Apr)	n	eiprəl	tháng  Tư
181	area	n	eəriə	diện tích, bề mặt
182	argue	v	ɑ:gju:	chứng tỏ, chỉ rõ
183	argument	n	ɑ:gjumənt	lý lẽ
184	arise	v	ə'raiz	xuất hiện, nảy ra, nảy sinh ra
185	arm	n, v	ɑ:m	cánh tay; vũ trang, trang bị (vũ khí)
186	armed	adj	ɑ:md	vũ trang
187	arms	n		vũ khí,  binh giới, binh khí
188	army	n	ɑ:mi	quân đội
189	around	adv, prep	ə'raund	xung  quanh,  vòng quanh
190	arrange	v	ə'reindʤ	sắp xếp, sắp đặt, sửa soạn
191	arrangement	n	ə'reindʤmənt	sự sắp xếp, sắp đặt, sự sửa soạn
192	arrest	v, n	ə'rest	bắt giữ, sự bắt giữ
193	arrival	n	ə'raivəl	sự đến, sự tới nơi
194	arrive (at, in)	v	ə'raiv	đến, tới nơi
195	arrow	n	ærou	tên, mũi tên
196	art	n	ɑ:t	nghệ thuật,  mỹ thuật
197	article	n	ɑ:tikl	bài báo, đề mục
198	artificial	adj	,ɑ:ti'fiʃəl	nhân tạo
199	artificially	adv	,ɑ:ti'fiʃəli	nhân tạo
200	artist	n	ɑ:tist	nghệ sĩ
201	artistic	adj	ɑ:'tistik	thuộc  nghệ thuật, thuộc  mỹ thuật
202	as	adv, conj, prep	æz, əz	như (as you know…)
203	as well			cũng, cũng như
204	ashamed	adj	ə'ʃeimd	ngượng, xấu hổ
205	aside	adv	ə'said	về một bên, sang một bên. aside from: ngoài ra, trư ra
206	ask	v	ɑ:sk	hỏi
207	asleep	adj	ə'sli:p	ngủ, đang ngủ. fall asleep ngủ thiếp đi
208	aspect	n	æspekt	vẻ bề ngoài, diện mạo
209	assist	v	ə'sist	giúp, giúp đỡ; tham dự, có mặt
210	assistance	n	ə'sistəns	sự giúp đỡ
211	assistant	n, adj	ə'sistənt	người giúp đỡ, người phụ tá; giúp đỡ
212	associate	v	ə'souʃiit	"kết giao, liên kết, kết hợp, cho cộng tác. associated with liên kết với"		
213	association	n	ə,sousi'eiʃn	sự kết hợp, sự liên kết
214	assume	v	ə'sju:m	mang, khoác, có, lấy (cái vẻ, tính chất…)
215	assure	v	ə'ʃuə	đảm bảo, cấm đoán
216	atmosphere	n	ætməsfiə	khí quyển
217	atom	n	ætəm	nguyên  tử
218	attach	v	ə'tætʃ	gắn, dán, trói, buộc
219	attached	adj		gắn bó
220	attack	n, v	ə'tæk	sự tấn công, sự công kích; tấn công, công kích
221	attempt	n, v	ə'tempt	sự cố gắng, sự thử; cố gắng, thử
222	attempted	adj	ə'temptid	cố gắng, thử
223	attend	v	ə'tend	dự, có mặt
224	attention	n	ə'tenʃn	sự chú ý
225	attitude	n	ætitju:d	thái độ, quan điểm
226	attorney	n	ə'tə:ni	người được ủy quyền
227	attract	v	ə'trækt	hút; thu hút, hấp dẫn
228	attraction	n	ə'trækʃn	sự hút, sức hút
229	attractive	adj	ə'træktiv	hút, thu hút, có duyên,  lôi cuốn
230	audience	n	ɔ:djəns	thính,  khan giả
231	August (abbr Aug)	n	ɔ:gəst - ɔ:'gʌst	tháng  Tám
232	aunt	n	ɑ:nt	cô, dì
233	author	n	ɔ:θə	tác giả
234	authority	n	ɔ:'θɔriti	uy quyền,  quyền lực
235	automatic	adj	,ɔ:tə'mætik	tự động
236	automatically	adv		một cách tự động
237	autumn	n	ɔ:təm	mùa thu (US: mùa thu là fall)
238	available	adj	ə'veiləbl	có thể dùng được, có giá trị, hiệu lực
239	average	adj, n	ævəridʤ	trung  bình,  số trung  bình,  mức trung  bình
240	avoid	v	ə'vɔid	tránh, tránh xa
241	awake	adj	ə'weik	đánh thức, làm thức dậy
242	award	n, v	ə'wɔ:d	phần thưởng; tặng, thưởng
243	aware	adj	ə'weə	biết, nhận thức, nhận thức thấy
244	away	adv	ə'wei	xa, xa cách, rời xa, đi xa
245	awful	adj	ɔ:ful	oai nghiêm, dễ sợ
246	awfully	adv		tàn khốc, khủng  khiếp
247	awkward	adj	ɔ:kwəd	vụng  về, lung  túng
248	awkwardly	adv		vụng  về, lung  túng
